0 1,0.0625
0 43,0.0625
0 163,0.0625
0 235,0.0625
0 335,0.0625
0 516,0.0625
0 746,0.0625
0 1089,0.0625
0 4192,0.0625
0 4213,0.0625
0 4603,0.0625
0 4983,0.0625
0 6895,0.0625
0 7127,0.0625
0 8409,0.0625
0 9562,0.0625
1 0,0.0769230769231
1 2,0.0769230769231
1 3,0.0769230769231
1 4,0.0769230769231
1 5,0.0769230769231
1 6,0.0769230769231
1 7,0.0769230769231
1 8,0.0769230769231
1 9,0.0769230769231
1 10,0.0769230769231
1 11,0.0769230769231
1 12,0.0769230769231
1 13,0.0769230769231
2 1,0.015625
2 16,0.015625
2 21,0.015625
2 36,0.015625
2 90,0.015625
2 93,0.015625
2 94,0.015625
2 95,0.015625
2 198,0.015625
2 236,0.015625
2 242,0.015625
2 351,0.015625
2 585,0.015625
2 673,0.015625
2 749,0.015625
2 878,0.015625
2 1025,0.015625
2 1054,0.015625
2 1644,0.015625
2 1671,0.015625
2 1840,0.015625
2 1850,0.015625
2 1879,0.015625
2 1943,0.015625
2 2218,0.015625
2 2980,0.015625
2 2999,0.015625
2 3047,0.03125
2 3410,0.015625
2 3430,0.015625
2 3432,0.015625
2 3473,0.015625
2 3488,0.015625
2 3906,0.015625
2 3960,0.03125
2 4058,0.015625
2 4404,0.03125
2 4409,0.03125
2 4691,0.015625
2 4692,0.015625
2 4696,0.015625
2 4700,0.015625
2 4702,0.015625
2 4703,0.015625
2 4708,0.015625
2 4710,0.015625
2 4712,0.015625
2 4713,0.015625
2 4714,0.015625
2 4721,0.015625
2 4725,0.015625
2 4726,0.015625
2 4727,0.015625
2 4730,0.015625
2 4915,0.015625
2 5297,0.015625
2 6959,0.015625
2 7962,0.015625
2 8723,0.015625
2 9406,0.015625
3 1,0.01
3 14,0.01
3 16,0.01
3 21,0.01
3 36,0.01
3 90,0.01
3 92,0.01
3 93,0.01
3 94,0.01
3 95,0.01
3 198,0.01
3 228,0.02
3 236,0.01
3 242,0.02
3 351,0.01
3 356,0.01
3 468,0.01
3 585,0.01
3 673,0.01
3 697,0.01
3 749,0.01
3 1021,0.01
3 1025,0.01
